path_segment,x1,y1,theta1,x2,y2,theta2
106,2.1199703238407057,9.564997360312124e-08,9.023582614453575e-08,1.059970323840763,-2.507526167273053e-07,9.023582614453575e-08
107,2.13997004387694,9.655233166870036e-08,9.108710741223546e-08,1.0799700438769964,-2.4985025866172613e-07,9.108710741223546e-08
108,2.159969763913173,9.74546901783687e-08,9.19383889019798e-08,1.0999697639132289,-2.4894790015205805e-07,9.19383889019798e-08
109,2.1799694839494057,9.835704824394761e-08,9.278967016967954e-08,1.1199694839494618,-2.4804554208647923e-07,9.278967016967954e-08
110,2.199969203985638,9.92594063095264e-08,9.364095165942388e-08,1.1399692039856952,-2.471431840209001e-07,9.364095165942388e-08
111,2.2199689240218716,1.0016176481919484e-07,9.44922329271236e-08,1.1599689240219286,-2.462408255112317e-07,9.44922329271236e-08
112,2.2399686440581053,1.0106412288477396e-07,9.534351441686795e-08,1.1799686440581614,-2.453384674456529e-07,9.534351441686795e-08
113,2.2599683640943375,1.0196648139444197e-07,9.619479568456768e-08,1.199968364094394,-2.444361089359848e-07,9.619479568456768e-08
114,2.2799680841305707,1.0286883946002087e-07,9.7046077174312e-08,1.2199680841306275,-2.4353375087040567e-07,9.7046077174312e-08
115,2.299967804166803,1.0377119752559968e-07,9.789735844201175e-08,1.23996780416686,-2.426313928048268e-07,9.789735844201175e-08
116,2.3199675242030375,1.0467355603526833e-07,9.874863993175609e-08,1.2599675242030937,-2.4172903429515845e-07,9.874863993175609e-08
117,2.3399672442392703,1.0557591410084722e-07,9.959992119945583e-08,1.2799672442393262,-2.408266762295796e-07,9.959992119945583e-08
118,2.3599669642755026,1.0647827261051524e-07,1.0045120268920015e-07,1.2999669642755596,-2.3992431771991123e-07,1.0045120268920015e-07
119,2.379966684311736,1.0738063067609447e-07,1.0130248395689989e-07,1.3199666843117934,-2.390219596543321e-07,1.0130248395689989e-07
120,2.3999664043479694,1.0828298874167359e-07,1.0215376544664423e-07,1.339966404348026,-2.3811960158875323e-07,1.0215376544664423e-07
121,2.4199661243842026,1.091853472513417e-07,1.0300504671434396e-07,1.3599661243842585,-2.3721724307908517e-07,1.0300504671434396e-07
122,2.4399658444204353,1.100877053169205e-07,1.038563282040883e-07,1.379965844420492,-2.3631488501350598e-07,1.038563282040883e-07
123,2.4599655644566685,1.1099006382658883e-07,1.0470760947178803e-07,1.3999655644567255,-2.3541252650383766e-07,1.0470760947178803e-07
124,2.479965284492902,1.1189242189216806e-07,1.0555889096153237e-07,1.419965284492958,-2.3451016843825882e-07,1.0555889096153237e-07
125,2.4999650045291344,1.1279477995774685e-07,1.064101722292321e-07,1.4399650045291916,-2.3360781037267963e-07,1.064101722292321e-07
126,2.519964724565367,1.1369713846741498e-07,1.0726145371897644e-07,1.4599647245654244,-2.3270545186301158e-07,1.0726145371897644e-07
127,2.5399644446016008,1.145994965329941e-07,1.0811273498667617e-07,1.4799644446016578,-2.3180309379743247e-07,1.0811273498667617e-07
128,2.5599641646378344,1.1550185459857322e-07,1.0896401647642051e-07,1.4999641646378903,-2.3090073573185354e-07,1.0896401647642051e-07
